Set	TimePoint	Median	SD	N	SE	nSamples	nGenes
CACNB2	Early infancy	9.26529	0.389881575556391	4	0.194940787778195	4	1
CACNB2	Late infancy	9.484935	0.284197207234695	8	0.100478886214966	8	1
CACNB2	Early childhood	8.752255	0.434800628606219	12	0.12551612998481	12	1
CACNB2	Late childhood	8.95528	0.280618178729271	4	0.140309089364636	4	1
CACNB2	Adolescence	9.637225	0.394468397973779	12	0.113873217878481	12	1
CACNB2	Adulthood	9.66591	0.345225994398618	24	0.0704689610184614	24	1
CSMD1	Early prenatal	5.85552	0.791095316460126	19	0.181489712587264	19	1
CSMD1	Early mid-prenatal	7.9231	1.08264676929397	27	0.208355467896385	27	1
CSMD1	Late mid-prenatal	8.54921	0.455222064855636	15	0.117537831734135	15	1
CSMD1	Late prenatal	8.53955	NA	1	NA	1	1
CSMD1	Early infancy	8.53817	0.164353951782933	4	0.0821769758914666	4	1
CSMD1	Late infancy	8.295665	0.510765035964959	8	0.180582710261907	8	1
CSMD1	Early childhood	8.02606	0.231452022648061	12	0.0668144437901708	12	1
CSMD1	Late childhood	7.75022	0.179207692264218	4	0.0896038461321091	4	1
CSMD1	Adolescence	8.36593	0.413672888311819	12	0.119417076711639	12	1
CSMD1	Adulthood	8.18823	0.350564786717422	24	0.0715587374371082	24	1
SATB2	Early prenatal	11.0438	2.23423425640709	19	0.51256849157238	19	1
SATB2	Early mid-prenatal	13.0828	0.616913346572667	27	0.118725028903467	27	1
SATB2	Late mid-prenatal	13.1225	0.0974946772661875	15	0.0251730174263874	15	1
SATB2	Late prenatal	12.3373	NA	1	NA	1	1
SATB2	Early infancy	11.517	0.142399657654083	4	0.0711998288270415	4	1
SATB2	Late infancy	11.65495	0.125116082527958	8	0.0442352151955076	8	1
SATB2	Early childhood	10.8784	0.331744965936549	12	0.095766522692885	12	1
SATB2	Late childhood	11.1476	0.25689990755156	4	0.12844995377578	4	1
SATB2	Adolescence	11.4565	0.347024559867908	12	0.100177361527574	12	1
SATB2	Adulthood	11.60675	0.191340574980996	24	0.039057231316182	24	1
ZNF804A	Early prenatal	6.91318	0.76215724469184	19	0.174850863615744	19	1
ZNF804A	Early mid-prenatal	7.4526	0.633623820449504	27	0.121940961100493	27	1
ZNF804A	Late mid-prenatal	8.24904	0.550705424897402	15	0.142191529286248	15	1
ZNF804A	Late prenatal	6.34588	NA	1	NA	1	1
ZNF804A	Early infancy	7.390385	0.11357561196548	4	0.0567878059827401	4	1
ZNF804A	Late infancy	7.134195	0.507369436137797	8	0.179382184429915	8	1
ZNF804A	Early childhood	5.599855	0.704856622130066	12	0.203474580263442	12	1
ZNF804A	Late childhood	5.762205	0.181586301796143	4	0.0907931508980717	4	1
ZNF804A	Adolescence	6.92895	0.557961398686542	12	0.161069581864548	12	1
ZNF804A	Adulthood	6.62248	0.586398615075376	24	0.11969811606745	24	1
